"Number of administrative units as of 31 December 2015 by province by Cities, provincies and Administrative units"

"Cities, provincies";"Cities under provinces";"Urban districts";"Towns";"Rural districts";"Wards";"Town districts";"Communes"
"WHOLE COUNTRY";67;49;51;546;1581;603;8978
"Red River Delta";13;19;6;92;440;117;1901
"Ha Noi";..;12;1;17;177;21;386
"Vinh Phuc";1;..;1;7;13;12;112
"Bac Ninh";1;..;1;6;23;6;97
"Quang Ninh";4;..;2;8;67;8;111
"Hai Duong";1;..;1;10;25;13;227
"Hai Phong";..;7;..;8;70;10;143
"Hung Yen";1;..;..;9;7;9;145
"Thai Binh";1;..;..;7;10;9;267
"Ha Nam";1;..;..;5;11;7;98
"Nam Dinh";1;..;..;9;20;15;194
"Ninh Binh";2;..;..;6;17;7;121
"Northern midlands and mountain areas";15;..;4;122;143;140;2283
"Ha Giang";1;..;..;10;5;13;177
"Cao Bang";1;..;..;12;8;14;177
"Bac Kan";1;..;..;7;6;6;110
"Tuyen Quang";1;..;..;6;7;5;129
"Lao Cai";1;..;..;8;12;9;143
"Yen Bai";1;..;1;7;13;10;157
"Thai Nguyen";2;..;1;6;30;10;140
"Lang Son";1;..;..;10;5;14;207
"Bac Giang";1;..;..;9;10;16;204
"Phu Tho";1;..;1;11;18;11;248
"Dien Bien";1;..;1;8;9;5;116
"Lai Chau";1;..;..;7;5;7;96
"Son La";1;..;..;11;7;9;188
"Hoa Binh";1;..;..;10;8;11;191
"North Central area and Central coastal area";15;6;16;137;336;144;2436
"Thanh Hoa";1;..;2;24;30;28;577
"Nghe An";1;..;3;17;32;17;431
"Ha Tinh";1;..;2;10;21;11;230
"Quang Binh";1;..;1;6;16;7;136
"Quang Tri";1;..;1;8;13;11;117
"Thua Thien Hue";1;..;2;6;39;8;105
"Da Nang";..;6;..;2;45;..;11
"Quang Nam";2;..;1;15;25;12;207
"Quang Ngai";1;..;..;13;9;9;166
"Bình Dinh";1;..;1;9;21;12;126
"Phu Yen";1;..;1;7;16;8;88
"Khanh Hoa";2;..;1;6;35;6;99
"Ninh Thuan";1;..;..;6;15;3;47
"Binh Thuan";1;..;1;8;19;12;96
"Central Highlands";5;..;4;53;77;49;600
"Kon Tum";1;..;..;9;10;6;86
"Gia Lai";1;..;2;14;24;14;184
"Dak Lak";1;..;1;13;20;12;152
"Dak Nong";..;..;1;7;5;5;61
"Lam Dong";2;..;..;10;18;12;117
"South East";5;19;8;40;374;33;465
"Binh Phuoc";..;..;3;8;14;5;92
"Tay Ninh";1;..;..;8;7;8;80
"Binh Duong";1;..;4;4;41;2;48
"Dong Nai";1;..;1;9;29;6;136
"Ba Ria - Vung Tau";2;..;..;6;24;7;51
"TP.Ho Chi Minh";..;19;..;5;259;5;58
"Mekong River Delta";14;5;13;102;211;120;1293
"Long An";1;..;1;13;12;14;166
"Tien Giang";1;..;2;8;22;7;144
"Ben Tre";1;..;..;8;10;7;147
"Tra Vinh";1;..;1;7;11;10;85
"Vinh Long";1;..;1;6;10;5;94
"Dong Thap";2;..;1;9;17;8;119
"An Giang";2;..;1;8;21;16;119
"Kien Giang";1;..;1;13;15;12;118
"Can Tho";..;5;..;4;44;5;36
"Hau Giang";1;..;2;5;12;10;54
"Soc Trang";1;..;2;8;17;12;80
"Bac Lieu";1;..;1;5;10;5;49
"Ca Mau";1;..;..;8;10;9;82
